3
Слово;Тип;Тип;Тип;Вывод
большого;local;local;dep;Local
ворот;local;local;dep;Local
центрального;local;local;local;Local
приезжего;local;local;local;Local
входа;local;local;local;Local
старого;local;local;local;Local
здания;local;local;local;Local
колизея;local;local;local;Local
странствующего;local;local;local;Local
популярного;local;local;local;Local
одного;local;local;local;Local
конюшен;local;local;dep;Local
ближнего;local;local;local;Local
самого;local;local;local;Local
круглого;local;local;local;Local
городского;local;local;local;Local
местного;local;local;local;Local
шатра;local;local;local;Local
города;global;global;dep;Global
рима;global;global;global;Global
здания;local;local;local;Local
цирка;local;global;global;Global
здаия;local;local;local;Local
площади;local;local;local;Local
двора;local;global;local;Local
рынка;local;local;local;Local
пламя;global;global;dep;Global
пока;local;local;local;Local
огонь;global;global;global;Global
оно;local;global;local;Local
огниво;local;global;local;Local
бедствие;global;global;local;Global
пожарище;global;global;local;Local
задымление;local;global;local;Local
бедствия;local;global;local;Local
все;local;local;local;Local
городские;global;global;local;Global
соседние;local;global;local;Local
новые;local;global;local;Local
жилые;local;global;local;Local
целые;local;local;local;Local
огонь;local;global;local;Local
пути;local;local;local;Local
ближайшие;local;local;local;Local
другие;local;local;local;Local
жилык;local;global;local;Local
остальные;local;local;local;Local
пути;local;local;local;Local
бедные;local;local;local;Local
многие;local;local;local;Local
близлежащие;local;local;local;Local
пути;local;local;local;Local
центральные;local;local;local;Local
дыма;local;global;local;Local
удушья;local;global;local;Local
удушения;local;global;local;Local
гари;local;global;local;Local
давки;local;local;local;Local
людей;local;local;local;Local
голода;local;local;local;Local
этого;local;local;local;Local
дыма;local;global;local;Local
дым;local;global;local;Local
завалов;local;local;local;Local
подали;local;local;local;Local
подвели;local;local;local;Local
привели;local;local;local;Local
оседлал;local;local;local;Local
дали;local;local;local;Local
приданное;local;local;dep;Local
взял;local;local;local;Local
вывели;local;local;local;Local
вскочил;local;local;local;Local
сел;local;local;local;Local
запрыгнул;local;local;local;Local
взглянул;local;local;local;Local
залезГлобальное (Синий)Локальное (Жёлтый)Спорно (Красный);local;local;local;Local
