Пропуск,Слово,Семантическое поле ,Количество,агрегация ,
18,зло,эмоциональная характеристика,1,,
18,отчаянно,эмоциональная характеристика,1,,
18,тихо,качество силы/громкости звука,1,,
18,женщина,человек,1,,
18,пронзительно,эмоциональная характеристика,1,,
18,звучно,качество силы/громкости звука,1,,
18,надрывно,эмоциональная характеристика,1,,
18,зычно,качество силы/громкости звука,1,,
18,не понятно,качество четкости звука,1,,
18,невзрачно,качество четкости звука,1,,
18,быстро,качество четкости звука,1,,
19,мальчишек,наименование групп лиц,7,,
19,ветра,неживая природа,5,,
19,стрел,оружие,4,,
19,людей,наименование групп лиц,4,,
19,птиц,животное,2,,
19,труб,музыкальный инструмент,2,,
19,толпы,наименование групп лиц,2,,
19,раздавшийся,глаголы звучания,1,,
19,исходящий,глаголы звучания,1,,
19,камней,неживая природа,1,,
19,доносящийся,глаголы звучания,1,,
19,ребят,наименование групп лиц,1,,
19,голодранцев,наименование групп лиц,1,,
19,дрелей,инструмент,1,,
19,падающий,глаголы физического действия,1,,
19,человека,человек,1,,
19,плетей,оружие,1,,
19,зевак,наименование групп лиц,1,,
19,донесшийся,глаголы звучания,1,,
19,прямо,направление ,1,,
19,воробья,животное,1,,
19,громкий,качество громкости звука,1,,
19,пращенников,наименование групп лиц,1,,
20,солдат,человек,8,,
20,человек ,человек,6,,
20,пилат,человек,4,,
20,он,человек,3,,
20,стражников,человек,2,,
20,легионер,человек,2,,
20,мужчина,человек,2,,
20,ленин,человек,1,,
20,глашатай,человек,1,,
20,иешуа,человек,1,,
20,страж ,человек,1,,
20,советник,человек,1,,
20,великий,человек,1,,
20,командир,человек,1,,
20,командир когорты,человек,1,,
20,палач,человек,1,,
20,привратник,человек,1,,
20,воин,человек,1,,
20,старик,человек,1,,
20,охранник,человек,1,,
21,значком,символ власти,7,,
21,свитком,символ власти,5,,
21,знаменем,символ власти,4,,
21,щитом,символ власти,4,,
21,свертком,символ власти,4,,
21,скипетром,символ власти,4,,
21,стволом,оружие,2,,
21,кандалами,объект сковывающий действия,1,,
21,стороны улицы с топором,-,1,,
21,топором,оружие,1,,
21,слойкой,еда,1,,
21,стаканом,посуда,1,,
21,штилем,"оружие, качество действия",1,,
21,корманоми,одежды,1,,
22,остановились,глаголы прекращения состояния,9,,
22,удалились,глаголы прекращения состояния,4,," трогается (1), ответили (1), начали движение (1), шли (1), партии (1)"
22,двинулись,глаголы начала состояния,3,,.
