1
Слово;Тип;Тип;Тип;Итог;Пропуск;Верно
палач;global;global;global;global;20;0
привратник;local;global;global;global;20;0
воин;local;global;global;global;20;0
старик;local;local;local;Local;20;0
охранник;local;local;global;Local;20;0
значком;local;global;global;global;21;1
свитком;local;local;global;Local;21;0
знаменем;local;local;local;Local;21;0
щитом;local;local;local;Local;21;0
свертком;local;local;local;Local;21;0
скипетром;local;dep;local;Local;21;0
стволом;local;dep;local;Local;21;0
кандалами;local;dep;global;global;21;0
топором;global;local;local;Local;21;0
топором;global;local;local;Local;21;0
слойкой;local;dep;local;Local;21;0
стаканом;local;dep;local;Local;21;0
штилем;local;dep;local;Local;21;0
корманоми;local;dep;none;Dep;21;0
остановились;local;local;global;Local;22;1
удалились;local;local;local;Local;22;0
двинулись;local;local;local;Local;22;0
обернулись;local;local;global;Local;22;0
ушли;local;local;local;Local;22;0
повернулись;local;local;local;Local;22;0
начали;local;dep;local;Local;22;0
побежали;local;local;local;Local;22;0
стали;local;dep;local;Local;22;0
ахнули;local;dep;local;Local;22;0
отвернулись;local;local;local;Local;22;0
остановился;local;local;global;Local;22;0
встрепенулись;local;local;global;Local;22;0
настиг;local;dep;dep;Dep;22;0
успокоились;local;local;local;Local;22;0
дежурный;local;dep;dep;Dep;22;0
трогается;local;local;local;Local;22;0
ответили;local;local;local;Local;22;0
движение;local;local;local;Local;22;0
шли;local;dep;local;Local;22;0
партии;local;dep;dep;Dep;22;0
вышла;local;local;local;Local;23;0
вылетела;local;local;global;Local;23;1
ворвалась;local;local;global;Local;23;0
выехала;local;local;local;Local;23;0
бежала;local;local;local;Local;23;0
выходила;local;local;local;Local;23;0
повернула;local;local;local;Local;23;0
проникла;local;local;local;Local;23;0
поспешила;local;local;local;Local;23;0
проскакала;local;local;global;Local;23;0
двинулась;local;local;local;Local;23;0
въехал;local;dep;dep;Dep;23;0
забежала;local;local;local;Local;23;0
выехал;local;dep;local;Local;23;0
рванулась;local;local;global;Local;23;0
выехав;local;local;local;Local;23;0
вылетала;local;local;global;Local;23;0
зашла;local;local;local;local;23;0
собралась;local;local;local;local;23;0
вбегала;local;local;global;local;23;0
спешила;local;local;global;local;23;0
кружила;local;dep;local;local;23;0
ринулась;local;local;global;local;23;0
выбежала;local;local;local;local;23;0
прибежали;local;local;local;local;23;0
перед;local;dep;local;local;23;0
влетела;local;local;global;local;23;0
ведущая;local;dep;local;local;23;0
каменной;local;local;global;local;24;1
крепостной;local;local;global;local;24;0
городской;local;local;global;local;24;0
высокой;local;local;local;local;24;0
западной;local;local;local;local;24;0
дворцовой;local;local;global;local;24;0
внешней;local;local;local;local;24;0
нависавшей;local;local;local;local;24;0
старой;local;local;local;local;24;0
большой;local;local;local;local;24;0
левой;local;local;local;local;24;0
навесной;local;dep;local;local;24;0
кирпичной;local;local;local;local;24;0
низенькой;local;local;local;local;24;0
бетонной;local;local;local;local;24;0
низкой;local;local;local;local;24;0
белой;local;local;local;local;24;0
рухнувшей;local;dep;local;local;24;0
виноград;local;local;global;local;25;1
туман;local;local;local;local;25;0
дым;local;local;local;local;25;0
путь;local;local;local;local;25;0
плющ;local;local;local;local;25;0
вьюн;local;local;local;local;25;0
мох;local;local;local;local;25;0
арык;local;dep;dep;Dep;25;0
след;local;dep;local;Local;25;0
штандарт;local;dep;local;Local;25;0
один;local;dep;local;Local;25;0
вьюн;local;local;global;Local;25;0
овраг;local;local;local;Local;25;0
караван;local;dep;local;Local;25;0
стланик;local;dep;local;Local;25;0
шлейф;local;dep;local;Local;25;0
свет;local;dep;local;Local;25;0
дорогой;local;local;local;Local;26;1
путь;local;local;local;Local;26;0
возможности;local;dep;local;Local;26;0
возможностью;local;dep;local;Local;26;0
дороге;local;local;local;Local;26;0
виноград;local;dep;global;Local;26;0
бегом;local;dep;local;Local;26;0
мальчик;local;local;local;Local;27;1
мышь;local;local;local;Local;27;0
ребёнок;local;local;local;Local;27;0
осел;local;dep;local;Local;27;0
подросток;local;local;local;Local;27;0
котенок;local;local;local;Local;27;0
ягода;local;local;local;Local;27;0
кот;local;local;local;Local;27;0
шакал;local;dep;local;Local;27;0
жук;local;local;local;Local;27;0
мошка;local;local;local;Local;27;0
муравей;local;local;local;Local;27;0
дым;local;dep;local;Local;27;0
мышонок;local;local;local;Local;27;0
маленький;dep;dep;local;Local;27;0
обезьяна;local;dep;local;Local;27;0
звереныш;local;local;local;Local;27;0
ворон;local;dep;local;Local;27;0
гном;local;local;local;Local;27;0
ночь;local;dep;local;Local;27;0
командир;global;global;local;global;28;1
