2_merge
;Слово;user_0;user_1;user_2;Вывод
717;неверным;global;global;local;Global
718;недавнем;local;global;global;Global
719;незначительном;local;local;local;Local
720;неловкое;local;local;local;Local
721;нельзя;local;dep;local;Local
722;ненадежным;local;local;local;Local
723;необычные;global;global;local;Global
724;необычные;global;local;local;Local
725;необычные;global;global;local;Global
726;необычные;global;local;local;Local
728;неподходящий;local;local;local;Local
729;непонятно;local;dep;local;Local
730;непонятные;global;global;local;Global
733;непонятные;global;local;local;Local
734;непонятные;local;global;local;Local
737;непонятные;local;local;local;Local
738;неправильно;local;global;local;Local
739;неправильным;global;global;local;Global
740;неприемлемым;global;global;local;Global
742;неразумным;global;global;local;Global
743;неудачным;global;local;local;Local
744;неуместным;local;local;local;Local
745;низкие;local;global;local;Local
746;низкое;local;dep;local;Local
747;николаевича;global;dep;dep;Dep
755;нитями;local;local;local;Local
756;нового;local;global;local;Local
757;новые;none;local;local;Local
758;новый;global;global;local;Global
759;ноги;local;local;local;Local
760;ноги;local;local;dep;Local
761;ноги;local;dep;local;Local
762;ноги;local;dep;dep;Dep
767;ногу;local;global;local;Local
768;ножками;local;local;local;Local
776;нормальной;local;local;local;Local
777;нрав;local;dep;local;Local
778;нравился;local;local;local;Local
779;нынешний;global;global;local;Global
780;нём;local;global;local;Local
781;обдумывать;local;global;local;Local
782;обножонной;local;local;local;Local
783;обойти;local;local;local;Local
784;обрадовались;local;local;local;Local
785;обыкновенного;local;global;local;Local
786;обычного;local;global;local;Local
787;обьяснительную;local;local;global;Local
788;огнями;local;local;local;Local
789;огоньками;local;local;local;Local
790;огромные;local;local;local;Local
791;окликнув;local;dep;local;Local
792;он;local;local;local;Local
793;онемели;local;local;local;Local
794;они;local;local;local;Local
795;опаской;local;local;local;Local
796;опасный;local;local;local;Local
797;опасным;global;global;local;Global
798;опрометчивым;global;global;local;Global
799;основании;local;none;local;Local
800;осознавать;local;local;local;Local
801;оставаться;local;local;local;Local
802;остальные;local;local;local;Local
803;остатсья;local;local;local;Local
804;остаться;local;local;local;Local
805;острове;local;dep;local;Local
806;осуществить;local;local;local;Local
807;отвергнуть;local;local;local;Local
808;отвернувшись;local;local;local;Local
809;отвечали;local;local;local;Local
810;отдала;local;local;local;Local
811;отекли;local;local;local;Local
812;открытой;local;local;local;Local
813;откуда;local;global;local;Local
814;отправила;local;local;local;Local
815;отстаивать;local;local;local;Local
816;оценивать;local;global;local;Local
817;оценивть;local;local;local;Local
818;очевидный;local;local;local;Local
819;очевидным;local;dep;local;Local
820;палец;local;global;local;Local
821;паркету;local;local;local;Local
822;пациент;global;global;global;Global
823;первый;local;global;local;Local
831;перебрать;local;local;local;Local
832;передала;local;local;local;Local
833;перенаправила;local;local;local;Local
834;перечили;local;local;local;Local
835;перчатках;local;global;local;Local
836;печи;local;global;local;Local
837;пил;local;global;local;Local
838;писать;local;local;local;Local
839;план;local;dep;local;Local
840;плафонами;local;local;local;Local
841;плачевный;local;local;local;Local
842;плечо;local;global;local;Local
843;плитки;global;global;local;Global
844;плиты;global;global;local;Global
845;плохим;global;local;local;Local
846;побыть;local;local;local;Local
847;повела;local;local;local;Local
848;поверили;local;local;local;Local
849;поверхностями;local;local;local;Local
850;повествование;local;global;local;Local
851;повесть;local;local;local;Local
852;поворотом;local;dep;local;Local
853;подвела;local;local;local;Local
854;поддавался;local;local;local;Local
855;подкосились;local;local;local;Local
856;поднимались;local;global;local;Local
857;подобный;local;local;local;Local
858;подпрыгивали;local;global;local;Local
859;подсветками;local;local;local;Local
860;подскакивали;local;global;local;Local
861;подставками;local;local;local;Local
862;подёргивались;global;global;local;Global
863;показала;local;local;local;Local
864;покраснели;local;local;local;Local
865;полу;local;dep;local;Local
866;помещении;global;local;local;Local
867;помещению;local;local;local;Local
868;помощь;local;local;local;Local
869;поняв;local;local;local;Local
870;посему;local;local;local;Local
871;посещение;local;dep;local;Local
872;потому;local;local;local;Local
873;похождениях;local;global;local;Local
874;почему;local;dep;local;Local
875;правильно;local;local;local;Local
876;правильным;global;local;local;Local
877;пребывание;local;dep;local;Local
878;пребывать;local;local;local;Local
879;превратно;local;local;local;Local
880;предках;local;global;local;Local
881;предметами;local;local;local;Local
882;предметы;local;local;local;Local
883;предыдущего;global;global;local;Global
884;предыдущий;local;global;local;Local
885;прежднего;global;global;local;Global
886;прежнего;global;global;local;Global
887;прежний;local;global;local;Local
895;прибамбасы;global;global;dep;Global
896;приблуды;global;global;local;Global
897;приборами;global;global;local;Global
898;приборы;global;global;local;Global
901;приборы;global;local;local;Local
902;приборы;local;global;local;Local
905;приборы;local;local;local;Local
906;прибыл;local;local;local;Local
907;привела;local;local;local;Local
908;прививался;local;global;local;Local
909;привлекал;local;global;local;Local
910;привлекался;local;global;local;Local
911;придерживаться;local;local;local;Local
912;придрались;local;local;local;Local
913;приехал;local;local;local;Local
914;принимать;local;local;local;Local
915;принялись;global;local;local;Local
916;приспособления;global;global;local;Global
917;приступали;local;local;local;Local
918;присутствовали;local;dep;local;Local
919;приходил;local;global;local;Local
920;пришел;local;global;local;Local
921;пришёл;local;local;local;Local
922;пробирками;global;global;global;Global
923;провода;local;local;local;Local
926;провода;local;dep;local;Local
927;провода;global;local;local;Local
931;проголосовали;local;local;local;Local
932;произведении;local;global;local;Local
933;пронеслось;local;local;local;Local
934;пропадает;local;local;local;Local
935;просили;local;local;local;Local
936;просто;local;local;local;Local
937;простой;local;local;local;Local
938;пространстве;local;local;local;Local
939;простудой;local;global;local;Local
940;простым;local;local;local;Local
941;прочие;local;local;local;Local
942;прошедшем;local;global;local;Local
943;прошло;local;local;local;Local
944;прошлого;global;global;local;Global
945;прошлый;local;global;local;Local
946;прыгали;local;global;local;Local
947;псих;global;global;global;Global
948;психбоьной;global;global;global;Global
949;психопат;global;global;global;Global
950;пугающим;local;local;local;Local
951;пульс;global;global;local;Global
952;пустому;local;global;local;Local
953;пути;local;local;local;Local
954;путь;local;dep;local;Local
962;работали;local;local;local;Local
963;работы;local;local;local;Local
964;радикальный;local;local;local;Local
965;разбить;local;local;local;Local
966;разбросать;local;local;local;Local
967;разговор;local;dep;local;Local
968;разговоры;local;dep;local;Local
969;разломать;local;local;local;Local
970;разнести;local;local;local;Local
971;разнообразно;none;local;local;Local
972;разнообразные;local;global;local;Local
973;разозлившийся;local;local;local;Local
974;разузнали;local;global;local;Local
975;раскидать;local;local;local;Local
976;распрашивать;local;local;local;Local
977;распросили;local;global;local;Local
978;рассказ;local;local;local;Local
979;рассказал;none;dep;local;Local
980;рассказывать;local;local;local;Local
987;рассказывать;local;global;local;Local
1007;расспрашивали;local;global;local;Local
1008;расспрашивать;local;local;local;Local
1009;расспросили;local;global;local;Local
1010;рассуждение;local;local;local;Local
1011;рассуждения;local;local;local;Local
1012;резиновые;local;global;local;Local
1013;решётку;local;global;local;Local
1014;рисковым;local;global;local;Local
1015;ровное;local;dep;local;Local
1016;родил;local;global;local;Local
1017;родители;local;global;local;Local
1018;родственниках;local;global;local;Local
